recommendationid,voted_up,playtime_h,content,overall_sentiment,emotion,key_phrase,confidence,needs_verification,aspect_graphics_sentiment,aspect_gameplay_sentiment,aspect_story_sentiment,aspect_performance_sentiment,aspect_value_sentiment,aspect_graphics_evidence,aspect_gameplay_evidence,aspect_story_evidence,aspect_performance_evidence,aspect_value_evidence,keywords
226560366,1,113.5,국산 소울겜이 이정도 퀄로 나오면 감사하지. 다 좋긴 했는데 그중에서 특히 최적화가 개쩜,POSITIVE,JOY,국산 소울겜 퀄리티 좋고 최적화 쩜,0.95,false,NONE,POSITIVE,NONE,POSITIVE,NONE,,국산 소울겜이 이정도 퀄로,,최적화가 개쩜,,최적화@technical|소울겜@content
226548314,1,46.4,"탄탄한 내러티브, 멋진 연출",POSITIVE,SATISFACTION,탄탄한 내러티브와 멋진 연출,0.85,false,NONE,NONE,POSITIVE,NONE,NONE,,,탄탄한 내러티브,,,내러티브@content|연출@content
226376911,1,214.5,국산스울라이크의 시작인게임중에하나 네오위즈덕분에 이런재밌게한 국산게임은 처음이다.  소울라이크 입문하기에도 좋은게임 명품명작게임이라고 생각한다. p의거짓2가 빨리나오기를  p의거짓을 시작으로 수많은 국산 명작게임이 계속잘나와야한다.,POSITIVE,JOY,소울라이크 입문 명품 명작 게임,0.90,false,NONE,POSITIVE,NONE,NONE,POSITIVE,,재밌게한 국산게임은 처음,,,명품명작게임,소울라이크@content|국산게임@content|명작@value
226371454,1,50.0,막았다고 ㅇㅅㅇ;;,NEUTRAL,NEUTRAL,막았다고 ㅇㅅㅇ;;,0.50,true,NONE,NEUTRAL,NONE,NONE,NONE,,,,,,
226370596,1,18.3,어렵긴한데 게임 분위기가 너무 취향임,POSITIVE,SATISFACTION,어렵지만 게임 분위기가 취향,0.80,false,POSITIVE,NEGATIVE,NONE,NONE,NONE,게임 분위기가 너무 취향임,어렵긴한데,,,,분위기@content|어려움@content
225832868,1,51.1,소울라이크 첫입문작인데 진짜 꿀잼입니당,POSITIVE,JOY,"소울라이크 첫 입문, 꿀잼!",0.95,false,NONE,POSITIVE,NONE,NONE,NONE,,꿀잼,,,,소울라이크@content|꿀잼@content
225770856,1,34.1,"소울류 입문을 P의 거짓으로 시작했어요.  긴장감있게 즐겼고, DLC도 해보려 해요.",POSITIVE,SATISFACTION,"소울류 입문, 긴장감 있게 즐김",0.90,false,NONE,POSITIVE,NONE,NONE,NONE,,긴장감있게 즐김,,,,소울류@content|DLC@content
225737478,1,47.4,1회차에서는 성검이 옳고 dlc까지하면 그의 칼로 2회차가 옳다 2회차때는 거의 소울겜말고 소프트한 액션겜이라는 느낌이였습니다. 제발 한국인이라면 피구라 합시다!!!,POSITIVE,SATISFACTION,2회차는 소프트한 액션 게임,0.85,false,NONE,POSITIVE,NONE,NONE,NONE,,소프트한 액션겜 느낌,,,,성검@content|액션겜@content|DLC@content
225731556,1,18.5,소울라이크 입문자에게 추천하기에도 나름 쉬운편이라 좋고 이미 썩어버린 사람들도 재밌게 할만한게임 막보스말고는 다 원트할정도로 난이도자체는 어렵지않았음,POSITIVE,SATISFACTION,소울라이크 입문자에게 쉬운 게임,0.90,false,NONE,POSITIVE,NONE,NONE,NONE,,쉬운편이라 좋고 재밌게 할만함,,,,소울라이크@content|난이도@content
225651640,1,35.5,소울라이크 갓겜 스토리도 괜찮음,POSITIVE,SATISFACTION,"소울라이크 갓겜, 스토리도 괜찮음",0.95,false,NONE,POSITIVE,POSITIVE,NONE,NONE,,갓겜,스토리도 괜찮음,,,소울라이크@content|갓겜@content|스토리@content
225591255,1,40.7,예전에 구매하고 방치하다가 아까워서 플레이 해 봤는데 스토리도 너무 좋고 전투도 너무 재미있었습니다,POSITIVE,JOY,"스토리, 전투 모두 만족",0.90,false,NONE,POSITIVE,POSITIVE,NONE,NEUTRAL,,전투도 너무 재미있었습니다,스토리도 너무 좋고,,,스토리@content|전투@content
225557385,1,37.3,나의 소울라이크 입문을 도와준 고마운 친구 물론 신나게 쳐맞기만한 친구 아직은 1회차 끝내고 유기하였지만 언젠간 n회차도 반드시 즐기렵니다 소울류 화이팅! 네오위즈 화이팅! 라운드8 화이팅!!,POSITIVE,SATISFACTION,소울라이크 입문작으로 좋음,0.85,false,NONE,POSITIVE,NONE,NONE,NEUTRAL,,소울라이크 입문을 도와준 고마운 친구,,,,소울라이크@content
225547391,1,45.4,"연출, 그래픽, 최적화, 스토리, 전투 모두 뛰어난 수작. 단점은 난이도가 매우 높은 것이지만 난이도를 조절할 수 있기에 누구나 플레이 할 수 있는 게임",POSITIVE,SATISFACTION,모든 요소가 뛰어난 수작,0.95,false,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NEUTRAL,그래픽,전투,스토리,최적화,,그래픽@technical|스토리@content|최적화@technical
225465125,1,54.9,국산 소울라이크 명작..,POSITIVE,SATISFACTION,국산 소울라이크 명작,0.90,false,NONE,POSITIVE,NONE,NONE,NEUTRAL,,,,,,소울라이크@content
225411128,1,83.2,"처음 리뷰 남기는 것 같아요. 소울라이크 입문용으로 좋고, 동시에 게임의 완성도가 미쳤습니다.  최적화는 유명하니 정말 좋고, 게임 스토리 음악 뭐 하나 빠지지 않습니다.  dlc까지 하시는 걸 추천드려요. 정말 재미있습니다. 전 두번 이상 깼네요.",POSITIVE,SATISFACTION,입문용으로 좋고 완성도 높음,0.95,false,NONE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,,소울라이크 입문용으로 좋고,게임 스토리,최적화는 유명하니 정말 좋고,dlc까지 하시는 걸 추천,소울라이크@content|최적화@technical|스토리@content
225318375,1,41.2,어렵지만서도 재밌습니다.,POSITIVE,JOY,어렵지만 재밌다!,0.90,false,NONE,POSITIVE,NONE,NONE,NONE,,재밌습니다.,,,,재미@content|어려움@content
225143214,1,55.6,tq 살려줘 살려줘 해서 살렸더니 진엔딩 못봤네 개ㅈ같다  보통 나한테 안식을 줘 하다가 살려줘 제발.. 하면 살리는 쪽이 진엔딩 아니냐,NEGATIVE,ANGER,진엔딩 조건 불만족,0.85,false,NONE,NEGATIVE,NEGATIVE,NONE,NONE,,진엔딩 못봤네 개ㅈ같다,진엔딩 조건 불만,,,진엔딩@content|불만@content
224974267,1,46.7,스토리 전투 어느 것 하나 본가에 절대 뒤지지 않는.. 그런데 dlc에서는 본가를 넘어섰다고 봅니다,POSITIVE,SATISFACTION,본가에 뒤지지 않는 스토리와 전투,0.90,false,NONE,POSITIVE,POSITIVE,NONE,POSITIVE,,"전투, 본가에 절대 뒤지지 않아","스토리, 본가에 절대 뒤지지 않아",,dlc에서는 본가를 넘어섰다고 봅니다,스토리@content|전투@content|DLC@content
224824969,1,50.4,"난이도 기능이 추가되어 소울겜 입문작으로 해봤는데 너무 재밌게 플레이했다. 우선 최적화와 편의성이 너무 마음에 들었고, 무기도 다양하고 조합할 수 있어 전투시에도 지루하지 않았다. 맵도 직관적이라 길찾기도 어렵지않고, 숨겨진 아이템 상자도 찾는 재미가 있었다. 스토리도 빈약하지 않고 굉장히 밀도있다. 단점으로는 아무래도 소울장르이다 보니 움직임이 답답하여 짜증을 유발할떄가 많았다. 잡몹배치라던가 어이없게 낙사하는 경우가 잦았다. 하지만 우리나라에서 이 정도에 게임을 만들어준 것에 대해 감사하다. 갓겜 ㅇㅈ!!",POSITIVE,SATISFACTION,소울 입문작으로 강추! 최적화 굿,0.80,false,NONE,POSITIVE,POSITIVE,POSITIVE,NONE,,무기도 다양하고 조합할 수 있어,스토리도 빈약하지 않고 굉장히 밀도있다,최적화와 편의성이 너무 마음에 들었고,,최적화@technical|난이도@content|스토리@content
224823481,1,140.7,무척 재밌게 즐겼습니다.,POSITIVE,JOY,무척 재밌게 즐겼습니다!,0.95,false,NONE,POSITIVE,NONE,NONE,NONE,,무척 재밌게 즐겼습니다.,,,,재미@content
226260031,1,185.4,"액션, 스토리를 잘 버무린 맛있는 소울라이크 게임입니다. 첫 소울라이크를 피의 거짓으로 플레이 했는데, 후회되지 않는 선택이었던 것 같네요. 아니, 탁월한 선택이었던 거 같습니다.",POSITIVE,SATISFACTION,액션과 스토리가 조화로운 소울라이크,0.95,false,NONE,POSITIVE,POSITIVE,NONE,POSITIVE,,"액션, 스토리를 잘 버무린","액션, 스토리를 잘 버무린",,후회되지 않는 선택,소울라이크@content|액션@content|스토리@content
226129704,1,38.8,소울라이크 게임의 입문작으로 굉장히 좋다고 생각함. 서술한 평가는 DLC를 제외한 도전과제 올 클리어에 3회차까지 진행한 시점을 기준으로의 평가임.  1. 장점 -뛰어난 스토리: 대부분의 스토리 라인이 탄탄하고 메인 스토리와 엔딩 역시도 만족할만한 방향이었음. -나쁘지 않은 조작감: 일부 소울라이크 게임들이 조작성으로 많이 비판 받는다는점을 생각하면 타격감 및 조작성의 측면에선 만족할만한 느낌을 받았음. 특히 페이블 아츠 (무기 고유 스킬) 모션이나 사운드는 잘 디자인되었다고 생각함. -고정된 루트: 이 부분은 단점에서도 설명하겠지만 일단 장점으로 보자면 엘든링이나 다크소울 시리즈에서 보이던 '꼬인 맵'이 거의 등장하지 않음. 메인 스토리의 진행에 있어서 쭉 달리기만 한다면 소울류 입문자 기준으로도 5시간 안에 엔딩을 볼 수 있을 정도. (물론 초회차에선 추천하지 않음)  이런 맵 디자인은 라이트 유저나 소울류 입문자들에게는 굉장히 친절한 요소이기에 긍정적으로 생각함. -좋은 최적화,POSITIVE,SATISFACTION,"입문작으로 좋은 소울라이크, 최적화 훌륭",0.80,false,NONE,POSITIVE,POSITIVE,POSITIVE,NEUTRAL,,"나쁘지 않은 조작감, 타격감","뛰어난 스토리, 탄탄한 스토리 라인","좋은 최적화, 프레임 드랍 없음","뭔가 먹어본 맛, 독창성은 0점",스토리@content|조작감@technical|최적화@technical
226124907,1,54.8,"장점  타격감 : 키마로 했는데 사운드나 이펙트가 정말 좋아서 전투를 재미있게 만든 요소였다. 뒤잡/앞잡, 퍼펙트 가드, 잡기 당할 시 특수 연출 등 찰진 효과음과 연출이 너무 좋았다.  전투 : 회피/가드/퍼펙트 가드를 전부 적절히 사용하여 플레이하게 만든 점이 정말 취향이었다. 엘든링을 하다 넘어와서 처음에는 회피 플레이를 고수했는데, 검은 토끼단 맏형한테 대검으로 몇 번 썰리고 나서야 가드와 퍼펙트 가드가 필수라는 것을 알게 되었다. 후반부 보스일수록 각 패턴을 회피할 것인지, 가드할 것인지, 퍼펙트 가드할 것인지 제대로 판단해야 클리어가 가능하도록 설계한 느낌이다. 이런 순간적인 판단과 피지컬이 중요한 전투를 잘 만들었다고 생각한다.  여기에 펄스전지 회복 시스템은 전투를 더욱 긴박하고 성취감 있게 만들었다. 회복약인 펄스전지를 전부 소모할 경우 상대를 공격해야만 다시 1개를 주는데, 이 시스템 덕분에 전투를 더욱 아슬아슬하게 이어나가게 해주고 긴장감이 유지되었다. 이 시스템",POSITIVE,SATISFACTION,"타격감, 전투 시스템이 훌륭한 게임",0.90,false,POSITIVE,POSITIVE,NONE,NONE,NONE,찰진 효과음과 연출이 너무 좋았다,전투를 재미있게 만든 요소,,,,타격감@technical|전투@content|무기 조합@content
225849732,1,31.0,별 기대 없었는데 생각보다 훨씬 좋았음,POSITIVE,JOY,기대 이상으로 만족스러운 게임,0.70,true,NONE,POSITIVE,NONE,NONE,NONE,,생각보다 훨씬 좋았음,,,,만족@value
