recommendationid,content,voted_up,votes_up,votes_funny,weighted_vote_score,playtime_at_review_min,playtime_forever_min,author_steamid,timestamp_created
226566288,굳,1,0,0,0.5,1552,1706,76561198381632278,1779904543
226560366,국산 소울겜이 이정도 퀄로 나오면 감사하지. 다 좋긴 했는데 그중에서 특히 최적화가 개쩜,1,0,0,0.5,6812,6812,76561199274897398,1779899204
226548314,"탄탄한 내러티브, 멋진 연출",1,0,0,0.5,2771,2784,76561198146303689,1779887602
226525041,8.5/10,1,0,0,0.5,4491,4593,76561197992815037,1779854300
226376911,국산스울라이크의 시작인게임중에하나 네오위즈덕분에 이런재밌게한 국산게임은 처음이다.  소울라이크 입문하기에도 좋은게임 명품명작게임이라고 생각한다. p의거짓2가 빨리나오기를  p의거짓을 시작으로 수많은 국산 명작게임이 계속잘나와야한다.,1,0,0,0.5,12792,12872,76561198056776940,1779704527
226371454,막았다고 ㅇㅅㅇ;;,1,0,0,0.5,3002,3002,76561198356058598,1779696906
226370596,어렵긴한데 게임 분위기가 너무 취향임,1,1,0,0.5,1098,1098,76561199443246882,1779695574
226260031,"액션, 스토리를 잘 버무린 맛있는 소울라이크 게임입니다. 첫 소울라이크를 피의 거짓으로 플레이 했는데, 후회되지 않는 선택이었던 것 같네요. 아니, 탁월한 선택이었던 거 같습니다.",1,1,0,0.5,10946,11127,76561198335137070,1779574613
226129704,"소울라이크 게임의 입문작으로 굉장히 좋다고 생각함. 서술한 평가는 DLC를 제외한 도전과제 올 클리어에 3회차까지 진행한 시점을 기준으로의 평가임.  1. 장점 -뛰어난 스토리: 대부분의 스토리 라인이 탄탄하고 메인 스토리와 엔딩 역시도 만족할만한 방향이었음. -나쁘지 않은 조작감: 일부 소울라이크 게임들이 조작성으로 많이 비판 받는다는점을 생각하면 타격감 및 조작성의 측면에선 만족할만한 느낌을 받았음. 특히 페이블 아츠 (무기 고유 스킬) 모션이나 사운드는 잘 디자인되었다고 생각함. -고정된 루트: 이 부분은 단점에서도 설명하겠지만 일단 장점으로 보자면 엘든링이나 다크소울 시리즈에서 보이던 '꼬인 맵'이 거의 등장하지 않음. 메인 스토리의 진행에 있어서 쭉 달리기만 한다면 소울류 입문자 기준으로도 5시간 안에 엔딩을 볼 수 있을 정도. (물론 초회차에선 추천하지 않음)  이런 맵 디자인은 라이트 유저나 소울류 입문자들에게는 굉장히 친절한 요소이기에 긍정적으로 생각함. -좋은 최적화: 진행에 있어서 프레임 드랍을 겪은적이 한번도 없고, 모델링이 깨진적도 한번도 없음. 이외의 버그도 거의 손에 꼽을 정도로 없음. 특히 이전 다른 소울류에서 자주 겪던 사물에 '낑김' 현상도 경험한적이 한번도 없음. -음반 GOAT: 보스전 및 특정 퀘스트 클리어시 음반을 얻을 수 있는데 여기서 들을 수 있는 음악이 상당히 좋음. 게임 분위기와도 잘 어울리고 몰입도를 높여줌.  2. 단점 -뭔가 먹어본 맛: 사실 p의 거짓이 잘만든 게임은 맞으나 게임성이 뛰어나다고 하기는 어렵다고 봄. 소울류 게임을 조금 해본 사람이라면 알겠지만 뭔가 블러드본에 세키로와 다크 소울을 섞어놓은 듯한 맛이 남. 시스템 적으로 기타 소울류와 차이나는 점은 페이블 아츠나 무기 조합 정도 밖에 없는것 같음. 물론 아는 맛이라 괜찮긴한데 독창성은 0점에 가까움. -이상한 밸런스 구조: 후반부로 갈수록 보스전보다 잡몹 때려잡는 시간이 더 길어짐. 특히 후반부에 나오는 잡몹들 중에 연타로 그로기를 넣는 몹이 있는데 좁은 골목에 2,3마리만 배치되어도 무한 그로기를 경험해볼수 있음. 이런 패턴이 달라진 몹만 늘어나면 모를까 최종장에 다다르면 잡몹이 거의 엘리트 몹으로 구성되게 됨. 즉, 새로운 형태의 강한적을 배치한다라기 보다는 스펙이 높은 엘리트  적을 여러마리 배치해서 소모전을 유도하는 느낌을 받았음. 물론 그냥 뛰어가기만 해도 거의 패스가 가능하긴 한지라 큰 문제라기 보단 개인적인 아쉬움에 가까움.  -고정된 루트: 앞에서 이야기한 장점에 포함되는 부분이지만 소울류를 사랑하는 사람들에게는 이런 점이 오히려 단점이 될 수도 있다고 생각함. 일단 3회차를 클리어하는데 40시간 정도가 걸렸는데 이는 다른 소울 게임들과 비교하면 1,2회차 정도의  분량밖에 되지 않는다고 생각함. 즉, 맵을 일자 형태로 만들면서 난이도와 불필요한 행동들은 줄였지만 탐험 요소와 오픈월드, 던전의 요소는 거의 다 버렸다고 보면 됨. 이는 누군가에겐 치명적인 단점으로 보일수도 있다고 생각함. -특정 보스의 불합리함: 보통의 소울류 게임들이 스텟이 높은 보스들과 넓은, 적어도 충분한 공간에서 교전을 진행한다면 p의 거짓에서는 좁은 곳, 다대일의 보스 전투가 꽤 자주 일어남. 그리고 이러한 보스들의 평가와 난이도가 그렇게 좋지 못한 것을 생각하면 몇 몇 보스, 미니 보스에 대한 부정적인 평가를 안 줄 수가 없음. 특히 무장이나 도구들이 부족한 초회차에서 이러한 요소들은 진행에 있어서 꽤 치명적임.  -몇몇 무기군의 불편함: 앞선 단점들이 게임을 클리어 해본 사람이라면 대부분 공감할만한 것이라면 이건 개인적인 생각인데, 특정 무기들이 필드에서 굉장히 쓰기가 불편함. 여러무기를 쓰는것을 좋아하고 p의 거짓에는 충분히 여러무기와 조합이 가능함. 물론 무기들간의 성능차이와 우열이 존재하는 것은 당연하지만 필드에서 무기가 걸치적거려서 쓰기 힘들다는 것은 납득이 어려운 부분임. 대부분 골목과 길 사이로 게임이 진행되는 만큼 모션이 큰 무기들의 공격이 취소되는 일이 너무 잦음.   3. 총평 탄탄한 스토리와 익숙한 재미 요소로 확실히 좋은 게임, 재미있는 게임으로 생각함. 특히 스토리의 진행 방식과 다양한 음악들은 감명깊게 즐겼음. 아마 소울 장르의 뉴비라면 아주 재밌게, 소울류의 이해도가 높은 게이머라면 충분히 즐길만한 수준으로 플레이하지 않을까 싶음.",1,1,0,0.5,2328,2328,76561199046532058,1779444704
226124907,"장점  타격감 : 키마로 했는데 사운드나 이펙트가 정말 좋아서 전투를 재미있게 만든 요소였다. 뒤잡/앞잡, 퍼펙트 가드, 잡기 당할 시 특수 연출 등 찰진 효과음과 연출이 너무 좋았다.  전투 : 회피/가드/퍼펙트 가드를 전부 적절히 사용하여 플레이하게 만든 점이 정말 취향이었다. 엘든링을 하다 넘어와서 처음에는 회피 플레이를 고수했는데, 검은 토끼단 맏형한테 대검으로 몇 번 썰리고 나서야 가드와 퍼펙트 가드가 필수라는 것을 알게 되었다. 후반부 보스일수록 각 패턴을 회피할 것인지, 가드할 것인지, 퍼펙트 가드할 것인지 제대로 판단해야 클리어가 가능하도록 설계한 느낌이다. 이런 순간적인 판단과 피지컬이 중요한 전투를 잘 만들었다고 생각한다.  여기에 펄스전지 회복 시스템은 전투를 더욱 긴박하고 성취감 있게 만들었다. 회복약인 펄스전지를 전부 소모할 경우 상대를 공격해야만 다시 1개를 주는데, 이 시스템 덕분에 전투를 더욱 아슬아슬하게 이어나가게 해주고 긴장감이 유지되었다. 이 시스템 덕분에 필드를 돌파하고 보스를 격파할 때 펄스전지가 없더라도 적극적으로 공격하게 만든다.  무기 조합 : 그동안 소울 게임 하면서 필요 능력치 때문에 쓰고 싶어도 못 쓴 무기가 많아 아쉬웠는데, 이 게임에서 날만큼은 자유롭게 사용이 가능해서 좋았다. 여러 가지 날과 손잡이로 무기 조합하면서 실험이 가능했는데, 덕분에 게임 플레이의 많은 부분에서 전을 구웠다.  음반, 고양이 : goat. 음반 듣고 고양이 쓰다듬으며 무기 조합하고 놀면 된다.   아쉬운 점  본편 필드 : 틀림없이 재밌긴 하다. 그런데 계속 무언가 아쉬운 느낌이 들었는데, 필드에서 주는 다양성이 그리 크지 않아서이지 않을까 생각해본다. 비교군이 가혹하기는 한데, 엘든링의 레아 루카리아 학원, 화산관, 도읍 로데일, 성수 버팀목 에프레펠을 보다가 p구라 필드를 보면 밋밋하다는 느낌을 지울 수가 없다. dlc 서곡 필드가 정말 재미있었던 것을 보면 경험에서 오는 격차인 것 같다.  p기관 해방 : 소비 아이템인 쿼츠를 사용해 부가 능력을 얻을 수 있는데, 굳이 레벨 시스템과 분리되어 존재해야 할 시스템인지는 잘 모르겠다. 투척 아이템 사용 횟수 증가는 적재력을, 리게인 관련 능력은 체력을 높여 강화할 수 있게 만들 수 있었을 텐데, 이런 점들을 하나로 묶어 p기관 해방으로 만든 듯 하다.  가드에 익숙해졌을 때의 문제 : 회피 플레이를 하다 가드/퍼펙트 가드 플레이를 하기에는 쉬운데, 그 반대가 어렵다. 인형의 왕 보스전 이전에는 대부분 가드/퍼펙트 가드로 보스전 클리어가 가능했을 텐데, 인형의 왕부터는 그게 쉽지 않다. dlc 악어처럼 회피 플레이를 권장하는 보스를 초반에 넣었으면 어땠을까 싶다.   후기  정말 재미있게 플레이한 게임. 본편을 재미있게 플레이했다면 dlc를 구매할 것을 강력하게 권한다. 본편의 아쉬웠던 점을 제대로 충족시켜준다. 후속작 개발에 착수했다던데 더 발전되어 나오면 정말 재미있는 게임이 될 것 같다.",1,0,0,0.5,3287,3287,76561199223883579,1779437721
226121876,재밌다,1,1,0,0.5,795,1166,76561198395129760,1779432762
226051112,재밌음,1,0,0,0.5,5221,5761,76561198127601538,1779350860
226016330,할만함,1,0,0,0.5,1773,2212,76561198094562478,1779305888
225849732,별 기대 없었는데 생각보다 훨씬 좋았음,1,0,0,0.5,1861,1861,76561198132586249,1779118460
225834587,"P의 거짓의 첫이미지는 우아하고 매혹적인 소울라이크류였다. 특히 약공과 강공으로 차곡차곡 모은 페이블을 통해 기술기를 썼을 때의 파란 이펙트와 날붙이의 갈리는 효과음의 전율은 P의 거짓을 구매하기에 충분한 이유가 되었다.  스토리를 밀며 P의 거짓이 이야기하고 싶은 내용이 내가 어릴 때 보고 자란 피노키오의 모험을 재해석한 것임을 알아냈을 때의 신선한 충격은, 한국 게임의 패러다임이 한 단계 더 높은 차원으로 도약했음을 확신하게 만들었다.  나아가 P의 거짓만의 독특한 무기 조합으로 다양한 챕터와 회차를 밀며 시스템에 익숙해질 때쯤, 손에 익은 무기로 보스를 몰아붙일 때의 폭발적인 쾌감은 시각적·청각적으로 강렬하게 전달된다. 수많은 시행착오 끝에 나만의 완벽한 빌드를 찾아내고 그것이 전투에서 폭발할 때 오는 전율과 카타르시스는, 게이머로서의 완벽한 승리감이 글을 읽는 이들에게도 고스란히 전해지길 바란다.",1,0,0,0.5,2247,2776,76561198319057557,1779102594
225832868,소울라이크 첫입문작인데 진짜 꿀잼입니당,1,0,0,0.5,1837,3068,76561198314173811,1779100195
225770856,"소울류 입문을 P의 거짓으로 시작했어요.  긴장감있게 즐겼고, DLC도 해보려 해요.",1,0,0,0.5,2046,2046,76561198120088726,1779032723
